document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 1 - URS - Heart Rate Monitor Application,URS,1,URS-001-01,Export readings as PDF/CSV,Local DB,High,Audit/event record shall be generated where applicable.,Approved?,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,1,URS-001-02,Store readings securely on device,Bluetooth Sensor,Medium,User shall receive clear error message on failure.,Approved?,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,1,URS_1.3,Battery and Bluetooth warning,Notification Service,Low,System shall complete the action without data loss.,Need SME,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,1,URS-001-04,Audit user actions,Notification Service,Medium,Result must be visible in mobile UI within expected time.,Draft,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,1,URS-001-05,Validate sensor data range,Android,Low,User shall receive clear error message on failure.,Need SME,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,2,URS-002-01,Battery and Bluetooth warning,Local DB,TBD,TBD by clinical SME - intentionally incomplete.,Pending QA,missing owner
Document 1 - URS - Heart Rate Monitor Application,URS,2,URS_2.2,Generate high/low heart-rate alert,Cloud Sync,High,Data shall be encrypted in transit and at rest.,Draft,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,2,URS-002-03,Display current BPM with timestamp,Cloud Sync,High,TBD by clinical SME - intentionally incomplete.,Pending QA,RAG TEST CHUNK
Document 1 - URS - Heart Rate Monitor Application,URS,2,URS-002-04,Audit user actions,Local DB,Medium,Audit/event record shall be generated where applicable.,Approved?,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,2,URS-002-05,Validate sensor data range,Notification Service,Medium,System shall complete the action without data loss.,Draft,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,3,URS-003-01,Support caregiver view,Local DB,TBD,Result must be visible in mobile UI within expected time.,Approved?,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,3,URS_3.2,Show trend chart for 7/30/90 days,Cloud Sync,Low,Data shall be encrypted in transit and at rest.,Pending QA,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,3,URS-003-03,Notification retry and suppression,Notification Service,Low,Data shall be encrypted in transit and at rest.,In Review,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,3,URS-003-04,Store readings securely on device,Backend API,Not ranked,Result must be visible in mobile UI within expected time.,Approved?,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,3,URS-003-05,Handle offline mode,Local DB,Medium,Data shall be encrypted in transit and at rest.,In Review,OCR noisy line
Document 1 - URS - Heart Rate Monitor Application,URS,4,URS-004-01,Capture heart rate from paired device,Android,High,Data shall be encrypted in transit and at rest.,Approved?,duplicate section
Document 1 - URS - Heart Rate Monitor Application,URS,4,URS-004-02,Show trend chart for 7/30/90 days,Bluetooth Sensor,TBD,System shall complete the action without data loss.,Approved?,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,4,URS-004-03,Generate high/low heart-rate alert,Android/iOS,High,Result must be visible in mobile UI within expected time.,Draft,manual note
Document 1 - URS - Heart Rate Monitor Application,URS,4,URS-004-04,Handle offline mode,Backend API,Low,Data shall be encrypted in transit and at rest.,Need SME,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,4,URS_4.5,Consent capture and privacy notice,Notification Service,Low,Data shall be encrypted in transit and at rest.,Draft,REVIEW-LATER
Document 1 - URS - Heart Rate Monitor Application,URS,5,URS-005-01,Manual heart rate entry when device unavailable,Backend API,TBD,Data shall be encrypted in transit and at rest.,Approved?,duplicate section
Document 1 - URS - Heart Rate Monitor Application,URS,5,URS-005-02,Store readings securely on device,Cloud Sync,Not ranked,Audit/event record shall be generated where applicable.,Need SME,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,5,URS_5.3,Display current BPM with timestamp,iOS,High,Audit/event record shall be generated where applicable.,Pending QA,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,5,URS-005-04,Support caregiver view,Local DB,Low,User shall receive clear error message on failure.,Rejected once,v0.1/v1.0 mixed
Document 1 - URS - Heart Rate Monitor Application,URS,5,URS-005-05,Handle offline mode,Cloud Sync,Low,System shall complete the action without data loss.,Need SME,duplicate section
Document 1 - URS - Heart Rate Monitor Application,URS,6,URS-006-01,Export readings as PDF/CSV,Bluetooth Sensor,Low,Result must be visible in mobile UI within expected time.,Rejected once,TBD
Document 1 - URS - Heart Rate Monitor Application,URS,6,URS-006-02,Validate sensor data range,Bluetooth Sensor,Medium,TBD by clinical SME - intentionally incomplete.,Pending QA,REVIEW-LATER
