document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 4 - IQ - Heart Rate Monitor Application,IQ,1,IQ-001-01,Export readings as PDF/CSV,iOS,TBD,Audit/event record shall be generated where applicable.,Pending QA,??
Document 4 - IQ - Heart Rate Monitor Application,IQ,1,IQ-001-02,Show trend chart for 7/30/90 days,Bluetooth Sensor,Low,TBD by clinical SME - intentionally incomplete.,Need SME,duplicate section
Document 4 - IQ - Heart Rate Monitor Application,IQ,1,IQ-001-03,Show trend chart for 7/30/90 days,Bluetooth Sensor,Medium,Data shall be encrypted in transit and at rest.,Rejected once,OCR noisy line
Document 4 - IQ - Heart Rate Monitor Application,IQ,1,IQ-001-04,Handle offline mode,Bluetooth Sensor,Not ranked,Audit/event record shall be generated where applicable.,Need SME,REVIEW-LATER
Document 4 - IQ - Heart Rate Monitor Application,IQ,1,IQ-001-05,Show trend chart for 7/30/90 days,Bluetooth Sensor,TBD,Data shall be encrypted in transit and at rest.,Draft,duplicate section
Document 4 - IQ - Heart Rate Monitor Application,IQ,2,IQ_2.1,Notification retry and suppression,Local DB,Medium,Data shall be encrypted in transit and at rest.,Pending QA,manual note
Document 4 - IQ - Heart Rate Monitor Application,IQ,2,IQ-002-02,Handle offline mode,Android/iOS,TBD,Result must be visible in mobile UI within expected time.,Approved?,REVIEW-LATER
Document 4 - IQ - Heart Rate Monitor Application,IQ,2,IQ_2.3,Display current BPM with timestamp,iOS,TBD,Data shall be encrypted in transit and at rest.,Need SME,OCR noisy line
Document 4 - IQ - Heart Rate Monitor Application,IQ,2,IQ_2.4,Show trend chart for 7/30/90 days,Cloud Sync,Not ranked,TBD by clinical SME - intentionally incomplete.,In Review,TBD
Document 4 - IQ - Heart Rate Monitor Application,IQ,2,IQ_2.5,Capture heart rate from paired device,Android/iOS,High,Result must be visible in mobile UI within expected time.,Approved?,missing owner
Document 4 - IQ - Heart Rate Monitor Application,IQ,3,IQ-003-01,Consent capture and privacy notice,Backend API,Medium,Audit/event record shall be generated where applicable.,In Review,old text retained
Document 4 - IQ - Heart Rate Monitor Application,IQ,3,IQ-003-02,Support caregiver view,Cloud Sync,Not ranked,Audit/event record shall be generated where applicable.,Rejected once,manual note
Document 4 - IQ - Heart Rate Monitor Application,IQ,3,IQ-003-03,Battery and Bluetooth warning,Android,High,TBD by clinical SME - intentionally incomplete.,Draft,missing owner
Document 4 - IQ - Heart Rate Monitor Application,IQ,3,IQ-003-04,Store readings securely on device,iOS,Low,TBD by clinical SME - intentionally incomplete.,Draft,manual note
Document 4 - IQ - Heart Rate Monitor Application,IQ,3,IQ-003-05,Store readings securely on device,Cloud Sync,Not ranked,User shall receive clear error message on failure.,In Review,missing owner
Document 4 - IQ - Heart Rate Monitor Application,IQ,4,IQ-004-01,Battery and Bluetooth warning,Notification Service,TBD,TBD by clinical SME - intentionally incomplete.,Draft,OCR noisy line
Document 4 - IQ - Heart Rate Monitor Application,IQ,4,IQ-004-02,Generate high/low heart-rate alert,Bluetooth Sensor,High,User shall receive clear error message on failure.,Approved?,manual note
Document 4 - IQ - Heart Rate Monitor Application,IQ,4,IQ-004-03,Notification retry and suppression,Local DB,Low,Result must be visible in mobile UI within expected time.,Need SME,duplicate section
Document 4 - IQ - Heart Rate Monitor Application,IQ,4,IQ-004-04,Export readings as PDF/CSV,Backend API,Medium,Data shall be encrypted in transit and at rest.,Pending QA,REVIEW-LATER
Document 4 - IQ - Heart Rate Monitor Application,IQ,4,IQ-004-05,Battery and Bluetooth warning,Android,Low,TBD by clinical SME - intentionally incomplete.,In Review,??
Document 4 - IQ - Heart Rate Monitor Application,IQ,5,IQ-005-01,Biometric login option,Local DB,Low,Audit/event record shall be generated where applicable.,Draft,old text retained
Document 4 - IQ - Heart Rate Monitor Application,IQ,5,IQ-005-02,Sync readings to cloud API,Cloud Sync,Medium,TBD by clinical SME - intentionally incomplete.,Pending QA,v0.1/v1.0 mixed
Document 4 - IQ - Heart Rate Monitor Application,IQ,5,IQ-005-03,Validate sensor data range,Notification Service,Medium,Result must be visible in mobile UI within expected time.,Approved?,duplicate section
Document 4 - IQ - Heart Rate Monitor Application,IQ,5,IQ-005-04,Validate sensor data range,Android,High,Data shall be encrypted in transit and at rest.,Draft,REVIEW-LATER
Document 4 - IQ - Heart Rate Monitor Application,IQ,5,IQ-005-05,Store readings securely on device,Android/iOS,Medium,Audit/event record shall be generated where applicable.,Approved?,old text retained
