document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 7 - SOP - Heart Rate Monitor Application,SOP,1,SOP-001-01,Battery and Bluetooth warning,Backend API,TBD,User shall receive clear error message on failure.,Need SME,old text retained
Document 7 - SOP - Heart Rate Monitor Application,SOP,1,SOP-001-02,Notification retry and suppression,iOS,Not ranked,Audit/event record shall be generated where applicable.,Pending QA,REVIEW-LATER
Document 7 - SOP - Heart Rate Monitor Application,SOP,1,SOP-001-03,Validate sensor data range,Android,TBD,System shall complete the action without data loss.,In Review,OCR noisy line
Document 7 - SOP - Heart Rate Monitor Application,SOP,1,SOP_1.4,Sync readings to cloud API,Local DB,TBD,TBD by clinical SME - intentionally incomplete.,Approved?,REVIEW-LATER
Document 7 - SOP - Heart Rate Monitor Application,SOP,1,SOP-001-05,Support caregiver view,Android/iOS,Low,Result must be visible in mobile UI within expected time.,Approved?,OCR noisy line
Document 7 - SOP - Heart Rate Monitor Application,SOP,2,SOP-002-01,Display current BPM with timestamp,Cloud Sync,High,Audit/event record shall be generated where applicable.,Rejected once,missing owner
Document 7 - SOP - Heart Rate Monitor Application,SOP,2,SOP-002-02,Support caregiver view,Cloud Sync,Low,Data shall be encrypted in transit and at rest.,Need SME,missing owner
Document 7 - SOP - Heart Rate Monitor Application,SOP,2,SOP-002-03,Display current BPM with timestamp,Cloud Sync,Low,Audit/event record shall be generated where applicable.,Rejected once,duplicate section
Document 7 - SOP - Heart Rate Monitor Application,SOP,2,SOP-002-04,Capture heart rate from paired device,Notification Service,Medium,Result must be visible in mobile UI within expected time.,Rejected once,TBD
Document 7 - SOP - Heart Rate Monitor Application,SOP,2,SOP_2.5,Store readings securely on device,Local DB,High,System shall complete the action without data loss.,Need SME,REVIEW-LATER
Document 7 - SOP - Heart Rate Monitor Application,SOP,3,SOP-003-01,Consent capture and privacy notice,Bluetooth Sensor,High,Audit/event record shall be generated where applicable.,Approved?,old text retained
Document 7 - SOP - Heart Rate Monitor Application,SOP,3,SOP_3.2,Handle offline mode,iOS,TBD,Result must be visible in mobile UI within expected time.,Draft,OCR noisy line
Document 7 - SOP - Heart Rate Monitor Application,SOP,3,SOP-003-03,Display current BPM with timestamp,Android/iOS,Medium,Audit/event record shall be generated where applicable.,Pending QA,REVIEW-LATER
Document 7 - SOP - Heart Rate Monitor Application,SOP,3,SOP_3.4,Display current BPM with timestamp,Android,Low,Data shall be encrypted in transit and at rest.,Approved?,??
Document 7 - SOP - Heart Rate Monitor Application,SOP,3,SOP-003-05,Store readings securely on device,Local DB,High,User shall receive clear error message on failure.,Pending QA,TBD
Document 7 - SOP - Heart Rate Monitor Application,SOP,4,SOP-004-01,Sync readings to cloud API,iOS,Low,System shall complete the action without data loss.,Draft,TBD
Document 7 - SOP - Heart Rate Monitor Application,SOP,4,SOP-004-02,Store readings securely on device,Local DB,High,Audit/event record shall be generated where applicable.,Pending QA,RAG TEST CHUNK
Document 7 - SOP - Heart Rate Monitor Application,SOP,4,SOP-004-03,Battery and Bluetooth warning,Android,High,Result must be visible in mobile UI within expected time.,Need SME,manual note
Document 7 - SOP - Heart Rate Monitor Application,SOP,4,SOP-004-04,Battery and Bluetooth warning,Cloud Sync,Medium,System shall complete the action without data loss.,Pending QA,??
Document 7 - SOP - Heart Rate Monitor Application,SOP,4,SOP_4.5,Handle offline mode,iOS,Not ranked,User shall receive clear error message on failure.,Approved?,TBD
Document 7 - SOP - Heart Rate Monitor Application,SOP,5,SOP-005-01,Capture heart rate from paired device,Local DB,Low,Result must be visible in mobile UI within expected time.,In Review,OCR noisy line
Document 7 - SOP - Heart Rate Monitor Application,SOP,5,SOP-005-02,Validate sensor data range,Android/iOS,TBD,System shall complete the action without data loss.,Draft,missing owner
Document 7 - SOP - Heart Rate Monitor Application,SOP,5,SOP-005-03,Consent capture and privacy notice,Bluetooth Sensor,TBD,System shall complete the action without data loss.,Draft,manual note
Document 7 - SOP - Heart Rate Monitor Application,SOP,5,SOP-005-04,Generate high/low heart-rate alert,Android/iOS,Not ranked,System shall complete the action without data loss.,Draft,v0.1/v1.0 mixed
Document 7 - SOP - Heart Rate Monitor Application,SOP,5,SOP-005-05,Support caregiver view,Android,Not ranked,Audit/event record shall be generated where applicable.,Approved?,v0.1/v1.0 mixed
Document 7 - SOP - Heart Rate Monitor Application,SOP,6,SOP-006-01,Handle offline mode,Android,Low,TBD by clinical SME - intentionally incomplete.,Draft,REVIEW-LATER
Document 7 - SOP - Heart Rate Monitor Application,SOP,6,SOP-006-02,Generate high/low heart-rate alert,Local DB,Not ranked,Audit/event record shall be generated where applicable.,In Review,RAG TEST CHUNK
Document 7 - SOP - Heart Rate Monitor Application,SOP,6,SOP-006-03,Sync readings to cloud API,Backend API,Low,System shall complete the action without data loss.,Approved?,v0.1/v1.0 mixed
Document 7 - SOP - Heart Rate Monitor Application,SOP,6,SOP-006-04,Store readings securely on device,Notification Service,TBD,Result must be visible in mobile UI within expected time.,Draft,duplicate section
Document 7 - SOP - Heart Rate Monitor Application,SOP,6,SOP-006-05,Audit user actions,Android,Low,TBD by clinical SME - intentionally incomplete.,Draft,manual note
Document 7 - SOP - Heart Rate Monitor Application,SOP,7,SOP-007-01,Handle offline mode,Backend API,TBD,Result must be visible in mobile UI within expected time.,Rejected once,??
Document 7 - SOP - Heart Rate Monitor Application,SOP,7,SOP-007-02,Capture heart rate from paired device,Cloud Sync,Medium,Data shall be encrypted in transit and at rest.,In Review,duplicate section
Document 7 - SOP - Heart Rate Monitor Application,SOP,7,SOP_7.3,Audit user actions,iOS,Low,System shall complete the action without data loss.,Approved?,??
Document 7 - SOP - Heart Rate Monitor Application,SOP,7,SOP-007-04,Sync readings to cloud API,Notification Service,Not ranked,Audit/event record shall be generated where applicable.,Draft,old text retained
Document 7 - SOP - Heart Rate Monitor Application,SOP,7,SOP-007-05,Show trend chart for 7/30/90 days,iOS,Low,TBD by clinical SME - intentionally incomplete.,Rejected once,??
Document 7 - SOP - Heart Rate Monitor Application,SOP,8,SOP_8.1,Display current BPM with timestamp,Backend API,TBD,User shall receive clear error message on failure.,Need SME,OCR noisy line
Document 7 - SOP - Heart Rate Monitor Application,SOP,8,SOP-008-02,Support caregiver view,Notification Service,TBD,TBD by clinical SME - intentionally incomplete.,Pending QA,duplicate section
Document 7 - SOP - Heart Rate Monitor Application,SOP,8,SOP-008-03,Display current BPM with timestamp,Bluetooth Sensor,Not ranked,Result must be visible in mobile UI within expected time.,Need SME,v0.1/v1.0 mixed
Document 7 - SOP - Heart Rate Monitor Application,SOP,8,SOP_8.4,Generate high/low heart-rate alert,Android/iOS,Not ranked,Result must be visible in mobile UI within expected time.,In Review,missing owner
Document 7 - SOP - Heart Rate Monitor Application,SOP,8,SOP-008-05,Notification retry and suppression,Android,Low,Data shall be encrypted in transit and at rest.,Draft,RAG TEST CHUNK
Document 7 - SOP - Heart Rate Monitor Application,SOP,9,SOP-009-01,Store readings securely on device,Cloud Sync,Low,Result must be visible in mobile UI within expected time.,Pending QA,??
Document 7 - SOP - Heart Rate Monitor Application,SOP,9,SOP-009-02,Generate high/low heart-rate alert,Local DB,TBD,TBD by clinical SME - intentionally incomplete.,Draft,??
