document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 6 - PQ - Heart Rate Monitor Application,PQ,1,PQ-001-01,Capture heart rate from paired device,Local DB,Low,Data shall be encrypted in transit and at rest.,Rejected once,TBD
Document 6 - PQ - Heart Rate Monitor Application,PQ,1,PQ-001-02,Handle offline mode,Notification Service,High,System shall complete the action without data loss.,In Review,missing owner
Document 6 - PQ - Heart Rate Monitor Application,PQ,1,PQ-001-03,Audit user actions,Local DB,Medium,TBD by clinical SME - intentionally incomplete.,Need SME,RAG TEST CHUNK
Document 6 - PQ - Heart Rate Monitor Application,PQ,1,PQ-001-04,Capture heart rate from paired device,Notification Service,High,Data shall be encrypted in transit and at rest.,Pending QA,old text retained
Document 6 - PQ - Heart Rate Monitor Application,PQ,1,PQ-001-05,Handle offline mode,Android/iOS,High,User shall receive clear error message on failure.,Rejected once,v0.1/v1.0 mixed
Document 6 - PQ - Heart Rate Monitor Application,PQ,2,PQ-002-01,Notification retry and suppression,Notification Service,Not ranked,User shall receive clear error message on failure.,Rejected once,REVIEW-LATER
Document 6 - PQ - Heart Rate Monitor Application,PQ,2,PQ-002-02,Manual heart rate entry when device unavailable,Android/iOS,Medium,TBD by clinical SME - intentionally incomplete.,Approved?,duplicate section
Document 6 - PQ - Heart Rate Monitor Application,PQ,2,PQ_2.3,Sync readings to cloud API,Local DB,Medium,TBD by clinical SME - intentionally incomplete.,Pending QA,v0.1/v1.0 mixed
Document 6 - PQ - Heart Rate Monitor Application,PQ,2,PQ-002-04,Sync readings to cloud API,Android/iOS,Medium,Result must be visible in mobile UI within expected time.,Approved?,??
Document 6 - PQ - Heart Rate Monitor Application,PQ,2,PQ-002-05,Display current BPM with timestamp,Cloud Sync,Low,Audit/event record shall be generated where applicable.,Approved?,manual note
Document 6 - PQ - Heart Rate Monitor Application,PQ,3,PQ-003-01,Audit user actions,iOS,TBD,Result must be visible in mobile UI within expected time.,Approved?,OCR noisy line
Document 6 - PQ - Heart Rate Monitor Application,PQ,3,PQ-003-02,Consent capture and privacy notice,Notification Service,Not ranked,Data shall be encrypted in transit and at rest.,In Review,manual note
Document 6 - PQ - Heart Rate Monitor Application,PQ,3,PQ-003-03,Display current BPM with timestamp,Notification Service,Medium,User shall receive clear error message on failure.,Rejected once,REVIEW-LATER
Document 6 - PQ - Heart Rate Monitor Application,PQ,3,PQ-003-04,Audit user actions,iOS,TBD,Data shall be encrypted in transit and at rest.,Rejected once,OCR noisy line
Document 6 - PQ - Heart Rate Monitor Application,PQ,3,PQ-003-05,Show trend chart for 7/30/90 days,Android/iOS,High,User shall receive clear error message on failure.,Pending QA,TBD
Document 6 - PQ - Heart Rate Monitor Application,PQ,4,PQ-004-01,Export readings as PDF/CSV,Notification Service,TBD,Audit/event record shall be generated where applicable.,Draft,v0.1/v1.0 mixed
Document 6 - PQ - Heart Rate Monitor Application,PQ,4,PQ_4.2,Show trend chart for 7/30/90 days,Notification Service,Medium,Audit/event record shall be generated where applicable.,Need SME,manual note
Document 6 - PQ - Heart Rate Monitor Application,PQ,4,PQ-004-03,Support caregiver view,Android,Not ranked,User shall receive clear error message on failure.,Draft,v0.1/v1.0 mixed
Document 6 - PQ - Heart Rate Monitor Application,PQ,4,PQ-004-04,Consent capture and privacy notice,Notification Service,TBD,Result must be visible in mobile UI within expected time.,Approved?,v0.1/v1.0 mixed
Document 6 - PQ - Heart Rate Monitor Application,PQ,4,PQ_4.5,Capture heart rate from paired device,iOS,Not ranked,Audit/event record shall be generated where applicable.,Pending QA,??
Document 6 - PQ - Heart Rate Monitor Application,PQ,5,PQ_5.1,Support caregiver view,Local DB,Not ranked,Result must be visible in mobile UI within expected time.,Rejected once,manual note
Document 6 - PQ - Heart Rate Monitor Application,PQ,5,PQ-005-02,Support caregiver view,Cloud Sync,Low,User shall receive clear error message on failure.,Rejected once,REVIEW-LATER
Document 6 - PQ - Heart Rate Monitor Application,PQ,5,PQ_5.3,Store readings securely on device,Bluetooth Sensor,TBD,TBD by clinical SME - intentionally incomplete.,In Review,manual note
Document 6 - PQ - Heart Rate Monitor Application,PQ,5,PQ-005-04,Export readings as PDF/CSV,Backend API,TBD,Data shall be encrypted in transit and at rest.,Draft,old text retained
Document 6 - PQ - Heart Rate Monitor Application,PQ,5,PQ-005-05,Support caregiver view,Android/iOS,Medium,Audit/event record shall be generated where applicable.,Need SME,RAG TEST CHUNK
Document 6 - PQ - Heart Rate Monitor Application,PQ,6,PQ-006-01,Capture heart rate from paired device,Local DB,High,System shall complete the action without data loss.,Need SME,OCR noisy line
Document 6 - PQ - Heart Rate Monitor Application,PQ,6,PQ-006-02,Consent capture and privacy notice,Android,Low,Result must be visible in mobile UI within expected time.,Draft,TBD
Document 6 - PQ - Heart Rate Monitor Application,PQ,6,PQ-006-03,Audit user actions,iOS,Not ranked,Audit/event record shall be generated where applicable.,Draft,v0.1/v1.0 mixed
Document 6 - PQ - Heart Rate Monitor Application,PQ,6,PQ-006-04,Generate high/low heart-rate alert,Android/iOS,TBD,Audit/event record shall be generated where applicable.,Need SME,duplicate section
Document 6 - PQ - Heart Rate Monitor Application,PQ,6,PQ-006-05,Support caregiver view,iOS,Medium,Audit/event record shall be generated where applicable.,In Review,missing owner
Document 6 - PQ - Heart Rate Monitor Application,PQ,7,PQ-007-01,Capture heart rate from paired device,Local DB,Not ranked,TBD by clinical SME - intentionally incomplete.,Need SME,missing owner
Document 6 - PQ - Heart Rate Monitor Application,PQ,7,PQ-007-02,Show trend chart for 7/30/90 days,Local DB,TBD,TBD by clinical SME - intentionally incomplete.,In Review,??
Document 6 - PQ - Heart Rate Monitor Application,PQ,7,PQ-007-03,Handle offline mode,Local DB,TBD,User shall receive clear error message on failure.,Draft,manual note
Document 6 - PQ - Heart Rate Monitor Application,PQ,7,PQ-007-04,Export readings as PDF/CSV,Bluetooth Sensor,Medium,Audit/event record shall be generated where applicable.,Approved?,missing owner
Document 6 - PQ - Heart Rate Monitor Application,PQ,7,PQ-007-05,Show trend chart for 7/30/90 days,Android,TBD,Audit/event record shall be generated where applicable.,Need SME,old text retained
Document 6 - PQ - Heart Rate Monitor Application,PQ,8,PQ-008-01,Handle offline mode,iOS,TBD,User shall receive clear error message on failure.,Approved?,REVIEW-LATER
Document 6 - PQ - Heart Rate Monitor Application,PQ,8,PQ-008-02,Biometric login option,Android,TBD,Result must be visible in mobile UI within expected time.,In Review,OCR noisy line
Document 6 - PQ - Heart Rate Monitor Application,PQ,8,PQ_8.3,Store readings securely on device,Local DB,Low,System shall complete the action without data loss.,Rejected once,manual note
Document 6 - PQ - Heart Rate Monitor Application,PQ,8,PQ-008-04,Sync readings to cloud API,Backend API,Not ranked,User shall receive clear error message on failure.,Need SME,v0.1/v1.0 mixed
Document 6 - PQ - Heart Rate Monitor Application,PQ,8,PQ_8.5,Generate high/low heart-rate alert,iOS,TBD,TBD by clinical SME - intentionally incomplete.,Approved?,duplicate section
Document 6 - PQ - Heart Rate Monitor Application,PQ,9,PQ-009-01,Store readings securely on device,iOS,Low,System shall complete the action without data loss.,Pending QA,??
Document 6 - PQ - Heart Rate Monitor Application,PQ,9,PQ-009-02,Manual heart rate entry when device unavailable,Bluetooth Sensor,TBD,System shall complete the action without data loss.,Draft,missing owner
Document 6 - PQ - Heart Rate Monitor Application,PQ,9,PQ_9.3,Audit user actions,Notification Service,TBD,TBD by clinical SME - intentionally incomplete.,Draft,old text retained
Document 6 - PQ - Heart Rate Monitor Application,PQ,9,PQ-009-04,Sync readings to cloud API,Notification Service,Not ranked,Data shall be encrypted in transit and at rest.,Draft,OCR noisy line
Document 6 - PQ - Heart Rate Monitor Application,PQ,9,PQ-009-05,Support caregiver view,Android/iOS,Low,TBD by clinical SME - intentionally incomplete.,Approved?,REVIEW-LATER
Document 6 - PQ - Heart Rate Monitor Application,PQ,10,PQ-010-01,Manual heart rate entry when device unavailable,Bluetooth Sensor,Medium,Result must be visible in mobile UI within expected time.,Rejected once,TBD
Document 6 - PQ - Heart Rate Monitor Application,PQ,10,PQ_10.2,Generate high/low heart-rate alert,Bluetooth Sensor,Not ranked,Data shall be encrypted in transit and at rest.,Need SME,RAG TEST CHUNK
Document 6 - PQ - Heart Rate Monitor Application,PQ,10,PQ-010-03,Generate high/low heart-rate alert,Android,Not ranked,Audit/event record shall be generated where applicable.,Need SME,manual note
Document 6 - PQ - Heart Rate Monitor Application,PQ,10,PQ-010-04,Export readings as PDF/CSV,Backend API,Low,Result must be visible in mobile UI within expected time.,In Review,manual note
Document 6 - PQ - Heart Rate Monitor Application,PQ,10,PQ_10.5,Sync readings to cloud API,iOS,Medium,TBD by clinical SME - intentionally incomplete.,Draft,??
Document 6 - PQ - Heart Rate Monitor Application,PQ,11,PQ-011-01,Biometric login option,Bluetooth Sensor,Medium,Audit/event record shall be generated where applicable.,In Review,manual note
Document 6 - PQ - Heart Rate Monitor Application,PQ,11,PQ-011-02,Sync readings to cloud API,Local DB,Not ranked,Data shall be encrypted in transit and at rest.,Rejected once,missing owner
Document 6 - PQ - Heart Rate Monitor Application,PQ,11,PQ-011-03,Support caregiver view,Local DB,Not ranked,Result must be visible in mobile UI within expected time.,Draft,TBD
