document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 2 - FRS - Heart Rate Monitor Application,FRS,1,FRS_1.1,Show trend chart for 7/30/90 days,Local DB,TBD,TBD by clinical SME - intentionally incomplete.,Rejected once,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,1,FRS_1.2,Store readings securely on device,Bluetooth Sensor,Not ranked,Data shall be encrypted in transit and at rest.,Rejected once,missing owner
Document 2 - FRS - Heart Rate Monitor Application,FRS,1,FRS-001-03,Battery and Bluetooth warning,Notification Service,TBD,Result must be visible in mobile UI within expected time.,In Review,??
Document 2 - FRS - Heart Rate Monitor Application,FRS,1,FRS-001-04,Capture heart rate from paired device,Notification Service,Medium,Data shall be encrypted in transit and at rest.,Need SME,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,1,FRS-001-05,Store readings securely on device,Android,Low,Audit/event record shall be generated where applicable.,Rejected once,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,2,FRS-002-01,Biometric login option,Bluetooth Sensor,High,Result must be visible in mobile UI within expected time.,In Review,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,2,FRS-002-02,Capture heart rate from paired device,Local DB,Not ranked,System shall complete the action without data loss.,Approved?,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,2,FRS_2.3,Display current BPM with timestamp,Notification Service,TBD,System shall complete the action without data loss.,Need SME,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,2,FRS-002-04,Validate sensor data range,Notification Service,High,TBD by clinical SME - intentionally incomplete.,In Review,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,2,FRS-002-05,Consent capture and privacy notice,Cloud Sync,Not ranked,System shall complete the action without data loss.,Rejected once,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,3,FRS-003-01,Consent capture and privacy notice,Android/iOS,Medium,Result must be visible in mobile UI within expected time.,Pending QA,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,3,FRS-003-02,Export readings as PDF/CSV,Backend API,Not ranked,User shall receive clear error message on failure.,Draft,??
Document 2 - FRS - Heart Rate Monitor Application,FRS,3,FRS_3.3,Validate sensor data range,Cloud Sync,TBD,Result must be visible in mobile UI within expected time.,Need SME,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,3,FRS-003-04,Validate sensor data range,Backend API,Low,User shall receive clear error message on failure.,Rejected once,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,3,FRS-003-05,Battery and Bluetooth warning,Notification Service,Low,Result must be visible in mobile UI within expected time.,In Review,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,4,FRS-004-01,Support caregiver view,Android,Low,Audit/event record shall be generated where applicable.,Rejected once,RAG TEST CHUNK
Document 2 - FRS - Heart Rate Monitor Application,FRS,4,FRS-004-02,Support caregiver view,Backend API,High,Data shall be encrypted in transit and at rest.,Rejected once,OCR noisy line
Document 2 - FRS - Heart Rate Monitor Application,FRS,4,FRS-004-03,Biometric login option,Android/iOS,TBD,Audit/event record shall be generated where applicable.,Approved?,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,4,FRS-004-04,Validate sensor data range,Cloud Sync,Medium,Result must be visible in mobile UI within expected time.,Pending QA,duplicate section
Document 2 - FRS - Heart Rate Monitor Application,FRS,4,FRS_4.5,Handle offline mode,iOS,Low,User shall receive clear error message on failure.,Approved?,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,5,FRS-005-01,Battery and Bluetooth warning,Local DB,Medium,Result must be visible in mobile UI within expected time.,Need SME,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,5,FRS-005-02,Show trend chart for 7/30/90 days,Android,TBD,User shall receive clear error message on failure.,Approved?,missing owner
Document 2 - FRS - Heart Rate Monitor Application,FRS,5,FRS-005-03,Validate sensor data range,Local DB,Not ranked,TBD by clinical SME - intentionally incomplete.,Rejected once,manual note
Document 2 - FRS - Heart Rate Monitor Application,FRS,5,FRS-005-04,Manual heart rate entry when device unavailable,Cloud Sync,High,Result must be visible in mobile UI within expected time.,Rejected once,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,5,FRS_5.5,Audit user actions,Local DB,Not ranked,System shall complete the action without data loss.,Need SME,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,6,FRS-006-01,Battery and Bluetooth warning,iOS,Low,System shall complete the action without data loss.,In Review,??
Document 2 - FRS - Heart Rate Monitor Application,FRS,6,FRS-006-02,Export readings as PDF/CSV,Android/iOS,Not ranked,TBD by clinical SME - intentionally incomplete.,Rejected once,manual note
Document 2 - FRS - Heart Rate Monitor Application,FRS,6,FRS-006-03,Display current BPM with timestamp,iOS,Not ranked,Data shall be encrypted in transit and at rest.,Draft,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,6,FRS-006-04,Display current BPM with timestamp,Bluetooth Sensor,TBD,Result must be visible in mobile UI within expected time.,Need SME,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,6,FRS-006-05,Manual heart rate entry when device unavailable,Notification Service,High,TBD by clinical SME - intentionally incomplete.,Rejected once,RAG TEST CHUNK
Document 2 - FRS - Heart Rate Monitor Application,FRS,7,FRS-007-01,Validate sensor data range,iOS,Not ranked,System shall complete the action without data loss.,In Review,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,7,FRS-007-02,Validate sensor data range,Local DB,High,Data shall be encrypted in transit and at rest.,In Review,??
Document 2 - FRS - Heart Rate Monitor Application,FRS,7,FRS-007-03,Battery and Bluetooth warning,Android,Low,User shall receive clear error message on failure.,Draft,old text retained
Document 2 - FRS - Heart Rate Monitor Application,FRS,7,FRS-007-04,Manual heart rate entry when device unavailable,Local DB,Low,System shall complete the action without data loss.,Approved?,REVIEW-LATER
Document 2 - FRS - Heart Rate Monitor Application,FRS,7,FRS-007-05,Handle offline mode,Notification Service,Low,Result must be visible in mobile UI within expected time.,Need SME,v0.1/v1.0 mixed
Document 2 - FRS - Heart Rate Monitor Application,FRS,8,FRS-008-01,Show trend chart for 7/30/90 days,Android/iOS,High,Audit/event record shall be generated where applicable.,Approved?,TBD
Document 2 - FRS - Heart Rate Monitor Application,FRS,8,FRS_8.2,Battery and Bluetooth warning,Notification Service,Not ranked,Result must be visible in mobile UI within expected time.,In Review,manual note
Document 2 - FRS - Heart Rate Monitor Application,FRS,8,FRS-008-03,Support caregiver view,Cloud Sync,Low,TBD by clinical SME - intentionally incomplete.,Need SME,RAG TEST CHUNK
Document 2 - FRS - Heart Rate Monitor Application,FRS,8,FRS-008-04,Store readings securely on device,Backend API,Low,TBD by clinical SME - intentionally incomplete.,Rejected once,missing owner
Document 2 - FRS - Heart Rate Monitor Application,FRS,8,FRS-008-05,Biometric login option,Cloud Sync,TBD,Audit/event record shall be generated where applicable.,Pending QA,??
