document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 5 - OQ - Heart Rate Monitor Application,OQ,1,OQ-001-01,Biometric login option,Android/iOS,Not ranked,System shall complete the action without data loss.,Approved?,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,1,OQ_1.2,Sync readings to cloud API,Notification Service,Not ranked,Result must be visible in mobile UI within expected time.,Need SME,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,1,OQ-001-03,Notification retry and suppression,Backend API,Low,Audit/event record shall be generated where applicable.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,1,OQ-001-04,Consent capture and privacy notice,Notification Service,Medium,TBD by clinical SME - intentionally incomplete.,Draft,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,1,OQ_1.5,Battery and Bluetooth warning,Android,Low,User shall receive clear error message on failure.,In Review,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,2,OQ-002-01,Manual heart rate entry when device unavailable,Local DB,Low,Audit/event record shall be generated where applicable.,Rejected once,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,2,OQ-002-02,Manual heart rate entry when device unavailable,iOS,High,Data shall be encrypted in transit and at rest.,In Review,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,2,OQ_2.3,Display current BPM with timestamp,Bluetooth Sensor,Medium,Data shall be encrypted in transit and at rest.,Pending QA,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,2,OQ-002-04,Generate high/low heart-rate alert,Bluetooth Sensor,Not ranked,Result must be visible in mobile UI within expected time.,Pending QA,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,2,OQ_2.5,Sync readings to cloud API,Cloud Sync,Low,Data shall be encrypted in transit and at rest.,Pending QA,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,3,OQ-003-01,Consent capture and privacy notice,Bluetooth Sensor,Low,Data shall be encrypted in transit and at rest.,In Review,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,3,OQ-003-02,Consent capture and privacy notice,Cloud Sync,Medium,Data shall be encrypted in transit and at rest.,Draft,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,3,OQ-003-03,Generate high/low heart-rate alert,Android,TBD,Result must be visible in mobile UI within expected time.,Approved?,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,3,OQ-003-04,Generate high/low heart-rate alert,Notification Service,TBD,Audit/event record shall be generated where applicable.,Need SME,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,3,OQ-003-05,Notification retry and suppression,Bluetooth Sensor,TBD,System shall complete the action without data loss.,In Review,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,4,OQ-004-01,Biometric login option,Cloud Sync,TBD,Audit/event record shall be generated where applicable.,Draft,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,4,OQ-004-02,Display current BPM with timestamp,iOS,Medium,Result must be visible in mobile UI within expected time.,Draft,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,4,OQ-004-03,Display current BPM with timestamp,Android/iOS,Low,Result must be visible in mobile UI within expected time.,Rejected once,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,4,OQ-004-04,Audit user actions,iOS,Low,Audit/event record shall be generated where applicable.,Rejected once,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,4,OQ-004-05,Audit user actions,Notification Service,Not ranked,User shall receive clear error message on failure.,Rejected once,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,5,OQ_5.1,Export readings as PDF/CSV,Android,TBD,System shall complete the action without data loss.,Rejected once,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,5,OQ_5.2,Biometric login option,Cloud Sync,Not ranked,System shall complete the action without data loss.,Need SME,??
Document 5 - OQ - Heart Rate Monitor Application,OQ,5,OQ_5.3,Support caregiver view,Cloud Sync,High,TBD by clinical SME - intentionally incomplete.,Rejected once,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,5,OQ-005-04,Store readings securely on device,Android/iOS,Low,TBD by clinical SME - intentionally incomplete.,In Review,OCR noisy line
Document 5 - OQ - Heart Rate Monitor Application,OQ,5,OQ-005-05,Support caregiver view,Cloud Sync,TBD,User shall receive clear error message on failure.,Draft,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,6,OQ-006-01,Handle offline mode,Cloud Sync,High,Result must be visible in mobile UI within expected time.,In Review,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,6,OQ_6.2,Display current BPM with timestamp,Android/iOS,High,TBD by clinical SME - intentionally incomplete.,Rejected once,manual note
Document 5 - OQ - Heart Rate Monitor Application,OQ,6,OQ-006-03,Notification retry and suppression,iOS,Low,System shall complete the action without data loss.,Draft,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,6,OQ-006-04,Export readings as PDF/CSV,Android,Not ranked,System shall complete the action without data loss.,Rejected once,REVIEW-LATER
Document 5 - OQ - Heart Rate Monitor Application,OQ,6,OQ-006-05,Biometric login option,Android,Not ranked,TBD by clinical SME - intentionally incomplete.,Rejected once,TBD
Document 5 - OQ - Heart Rate Monitor Application,OQ,7,OQ-007-01,Handle offline mode,Backend API,Not ranked,Audit/event record shall be generated where applicable.,Draft,duplicate section
Document 5 - OQ - Heart Rate Monitor Application,OQ,7,OQ-007-02,Battery and Bluetooth warning,iOS,Medium,Audit/event record shall be generated where applicable.,Pending QA,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,7,OQ-007-03,Display current BPM with timestamp,Cloud Sync,High,System shall complete the action without data loss.,Rejected once,old text retained
Document 5 - OQ - Heart Rate Monitor Application,OQ,7,OQ-007-04,Store readings securely on device,Notification Service,Medium,TBD by clinical SME - intentionally incomplete.,In Review,RAG TEST CHUNK
Document 5 - OQ - Heart Rate Monitor Application,OQ,7,OQ-007-05,Biometric login option,Notification Service,High,Audit/event record shall be generated where applicable.,Approved?,missing owner
Document 5 - OQ - Heart Rate Monitor Application,OQ,8,OQ_8.1,Support caregiver view,iOS,TBD,User shall receive clear error message on failure.,In Review,RAG TEST CHUNK
