document_name,doc_type,page,item_id,item_text,platform,risk,acceptance_expected,status,messy_flag
Document 3 - DS - Heart Rate Monitor Application,DS,1,DS-001-01,Store readings securely on device,Local DB,Medium,System shall complete the action without data loss.,Pending QA,??
Document 3 - DS - Heart Rate Monitor Application,DS,1,DS-001-02,Audit user actions,Bluetooth Sensor,TBD,Data shall be encrypted in transit and at rest.,Rejected once,duplicate section
Document 3 - DS - Heart Rate Monitor Application,DS,1,DS-001-03,Battery and Bluetooth warning,Android/iOS,Low,Data shall be encrypted in transit and at rest.,Need SME,v0.1/v1.0 mixed
Document 3 - DS - Heart Rate Monitor Application,DS,1,DS_1.4,Consent capture and privacy notice,Local DB,TBD,User shall receive clear error message on failure.,Pending QA,v0.1/v1.0 mixed
Document 3 - DS - Heart Rate Monitor Application,DS,1,DS-001-05,Display current BPM with timestamp,Notification Service,TBD,Data shall be encrypted in transit and at rest.,Rejected once,REVIEW-LATER
Document 3 - DS - Heart Rate Monitor Application,DS,2,DS-002-01,Audit user actions,Android,Low,TBD by clinical SME - intentionally incomplete.,Draft,v0.1/v1.0 mixed
Document 3 - DS - Heart Rate Monitor Application,DS,2,DS-002-02,Store readings securely on device,Bluetooth Sensor,TBD,User shall receive clear error message on failure.,Draft,old text retained
Document 3 - DS - Heart Rate Monitor Application,DS,2,DS-002-03,Biometric login option,Backend API,Medium,Result must be visible in mobile UI within expected time.,Rejected once,old text retained
Document 3 - DS - Heart Rate Monitor Application,DS,2,DS_2.4,Audit user actions,Notification Service,Medium,TBD by clinical SME - intentionally incomplete.,Need SME,old text retained
Document 3 - DS - Heart Rate Monitor Application,DS,2,DS-002-05,Sync readings to cloud API,Backend API,Medium,System shall complete the action without data loss.,Rejected once,OCR noisy line
Document 3 - DS - Heart Rate Monitor Application,DS,3,DS_3.1,Manual heart rate entry when device unavailable,Android/iOS,High,Result must be visible in mobile UI within expected time.,Draft,manual note
Document 3 - DS - Heart Rate Monitor Application,DS,3,DS-003-02,Battery and Bluetooth warning,Android/iOS,TBD,Data shall be encrypted in transit and at rest.,In Review,missing owner
Document 3 - DS - Heart Rate Monitor Application,DS,3,DS-003-03,Validate sensor data range,Backend API,Low,Data shall be encrypted in transit and at rest.,Pending QA,TBD
Document 3 - DS - Heart Rate Monitor Application,DS,3,DS-003-04,Display current BPM with timestamp,Notification Service,Medium,TBD by clinical SME - intentionally incomplete.,Rejected once,missing owner
Document 3 - DS - Heart Rate Monitor Application,DS,3,DS-003-05,Generate high/low heart-rate alert,Notification Service,Low,TBD by clinical SME - intentionally incomplete.,Pending QA,OCR noisy line
